RATING,TITLE,CREDIT,BOX OFFICE,YEAR
91,Star Wars: The Last Jedi,Leia,619.2,2017
93,Star Wars: Episode VII - The Force Awakens,Leia,936.7,2015
23,Sorority Row,Mrs. Crenshaw,12,2009
13,The Women,Bailey Smith,26.9,2008
8,Undiscovered,Carrie,1.1,2005
79,The Aristocrats,Actor,6.2,2005
43,Charlie's Angels - Full Throttle,Mother Superior,100.7,2003
53,Jay and Silent Bob Strike Back,Nun,29.9,2001
74,Sister Act,Screenwriter,139.7,1992
95,Star Wars: Episode V - The Empire Strikes Back,Princess Leia Organa,4.6,1980
