UORG_LOTACAO,Outro,Professor 20h,Professor 40h ou DE,idade_25perc,idade_mediana,idade_75perc,COD_SETOR,CAMPUS,MATRICULAS
Unidade Academica De Petroleo,1,0,6,6.86036537143024,6.91242016595079,7.55762564540284,11110000,1,278
Unidade Academica De Eng. Biotecnologia,2,0,9,6.19461194677271,6.88502290567682,7.15351605636175,71030000,7,425
Unidade Academica De Eng. De Alimentos,6,1,10,3.87337907006038,6.97269413855353,26.1720092070467,15040000,1,258
Unidade Academica De Eng. De Alimentos,6,1,10,3.87337907006038,6.97269413855353,26.1720092070467,91010000,9,5837
Unidade Academica Mineracao e Geologia,18,0,13,4.06584482348504,31.9973516728001,35.9946119467727,15100000,1,645
Unidade Academica Ciencias Atmosferica,7,0,15,12.5000913988275,32.3274886591015,37.8761187960878,15010000,1,69
Unidade Academica De Estatistica,1,0,15,6.62885852211517,7.73022838512887,13.4583105769097,11140000,1,885
Unidade Academica De Design,2,2,16,7.84940646732065,25.8220092070467,29.9589955084165,11120000,1,959
Unidade Academica Engenharia Materiais,12,0,18,21.73433797417,26.2959818097864,33.4959818097864,11060000,1,471
Unidade Academica De Historia,8,0,20,7.67885852211517,14.9384475632111,26.4322831796494,13060000,1,1008
Unidade Academica De Tec Do Desenv-Cdsa,4,0,22,6.39324208375901,6.91379002896449,7.28776263170421,71020000,7,1563
Unidade Academica Economia e Financas-Ch,5,0,22,7.53091331663572,24.7315982481426,31.6624201659508,13030000,1,1198
Unidade Academica De Engenharia Mecanica,14,0,24,8.41789961800558,27.3699544125261,34.4233790700604,11050000,1,1389
Unidade Academica De Adm e Contabilidade,7,2,23,4.75625578238914,8.96447496047134,14.7220092070467,13010000,1,1913
Unidade Academica De Engenharia Agricola,4,0,25,12.5548859193754,25.4850229056768,26.3288585221152,15020000,1,413
Unidade Academica De Engenharia Quimica,12,0,25,8.31789961800558,25.7754338645809,32.5165297549919,11070000,1,1391
Unidade Academica Engenharia Florestal,12,0,28,10.3918722207453,23.9754338645809,31.1836530426631,41020000,4,728
Unidade Academica De Quimica e Biologia,6,0,29,4.33570783718367,7.87132427553983,8.93844756321106,51040000,5,2351
Unidade Academica De Psicologia,5,6,24,2.87817359060832,6.38639276869051,7.45762564540284,12050000,1,1615
Unidade Academica De Educacao - Ch,5,0,31,7.62748865910147,18.6631050974576,25.4644749604713,13040000,1,1560
Unidade Academica De Educacao - Ch,5,0,31,7.62748865910147,18.6631050974576,25.4644749604713,21030000,2,2003
Unidade Academica De Eng. De Producao,3,1,30,6.32954345362202,7.34392701526586,22.6274886591015,11130000,1,1099
Unidade Academica De Eng. De Producao,3,1,30,6.32954345362202,7.34392701526586,22.6274886591015,71040000,7,585
Unidade Academica De Ciencias Contabeis,2,9,23,6.15831057690969,7.07680372759462,8.76242016595079,31030000,3,3061
Unidade Academica De Fisica - Cct,9,0,32,6.9042009878686,13.0110503029371,34.8302283851289,11080000,1,2781
Unidade Academica De Geografia,7,0,32,5.20831057690969,7.28776263170421,21.6096804399234,13080000,1,1079
Unidade Academica De Geografia,7,0,32,5.20831057690969,7.28776263170421,21.6096804399234,21070000,2,802
Unidade Academica De Educacao Do Campo,3,2,34,2.0973516728001,6.80831057690969,7.27132427553983,71010000,7,1514
Unidade Academica De Matematica,6,0,37,4.63159824814257,8.23022838512887,13.9754338645809,11090000,1,4059
Unidade Academica Medicina Veterinaria,3,0,37,1.91310509745764,20.9535160563617,29.765844823485,41010000,4,2731
Unidade Academica De Fisica e Matematica,4,2,37,3.14529687827956,7.29324208375901,9.99050235773161,51010000,5,1550
Unidade Academica Sistemas e Computacao,8,0,39,6.05077633033435,8.42474893307408,22.0918722207453,14110000,1,3714
Unidade Academica De Engenharia Civil,31,0,42,6.86858454951243,24.6137900289645,38.0028311248549,15030000,1,3535
Unidade Academica De Saude - Ces,6,2,40,3.32474893307408,7.22611879608777,7.85625578238914,51020000,5,4000
Unidade Academica De Arte e Midia - Ch,14,3,40,3.96926948101928,7.18365304266312,22.0192694810193,13020000,1,2543
Unidade Academica De Engenharia Eletrica,30,0,51,7.56995441252613,31.9959818097864,38.252146193348,14040000,1,3575
Unidade Academica De Ciencias Da Vida,6,42,11,5.02200920704668,6.42474893307408,7.5042009878686,21050000,2,663
Unidade Academica De Ciencias Biologicas,11,7,53,3.85625578238915,6.38639276869051,7.86310509745764,41050000,4,3586
Unidade Academica De Enfermagem,12,13,50,3.77817359060832,7.4055708508823,8.86310509745764,21060000,2,849
Unidade Academica De Enfermagem,12,13,50,3.77817359060832,7.4055708508823,8.86310509745764,51030000,5,1427
Unidade Academica De Direito - Ccjs,3,11,54,4.2042009878686,8.33707770019737,10.898036604307,31010000,3,6185
Unidade Academica De Letras - Ch,8,1,65,2.43091331663572,6.87543386458093,15.1542009878686,13070000,1,2012
Unidade Academica De Letras - Ch,8,1,65,2.43091331663572,6.87543386458093,15.1542009878686,21040000,2,1582
Unidade Academica De Ciencias Sociais,7,5,63,5.71515989197819,7.86310509745764,23.306940713896,21010000,2,1519
Unidade Academica De Medicina,11,65,37,6.38639276869051,8.8014612618412,28.1761187960878,12020000,1,2575
