playlist_name,playlist_uri,playlist_tracks_url,playlist_num_tracks,snapshot_id,playlist_img,track_name,track_uri,artist_name,album_name,year,album_img,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,style
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,24,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Como Nossos Pais,4dIWbsYRqqTcLKf4bVU4kk,Elis Regina,Elis Regina Em Falso Brilhante,1976,https://i.scdn.co/image/2a6784793fb33dc608ecce0f597367c0af169a23,61,0.51,401,D,-11296,major,102,418,0,288,574,143942,260493,3,D major,Bossa nova
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,24,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Só Tinha De Ser Com Você,4tb7A6O8cE2UzELRTwU3KZ,Elis Regina,Elis & Tom,1964,https://i.scdn.co/image/e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,59,807,476,F,-11606,major,0.0472,695,394,148,0.46,119729,232333,4,F major,Bossa nova
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,24,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,"Alô, alô marciano",6cLgUQGamTwyH7HhQbZyxQ,Elis Regina,Saudade do Brasil,1980,https://i.scdn.co/image/461c964b744c36369d741ea9460b42d3659bb1b4,29,629,246,E,-17182,minor,0.0702,0.74,7.65e-5,206,707,128.49,243467,4,E minor,Bossa nova
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,24,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Madalena,5D02wWaZuuyD8WonzkTzx9,Elis Regina,Elis (Trilha Sonora Original Do Filme),1971,https://i.scdn.co/image/b39e26abfffe8b02901e753d01a4f0ba3fff7a29,41,502,524,B,-10234,minor,0.0717,267,0,334,762,86581,163437,4,B minor,Bossa nova
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,24,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Fascinaçao,6hSsh8A723QAi8eeD3SGxR,Elis Regina,Elis (Trilha Sonora Original Do Filme),1976,https://i.scdn.co/image/b39e26abfffe8b02901e753d01a4f0ba3fff7a29,40,338,164,G,-14985,major,0.0321,926,"0,0004",249,0.16,81444,180711,4,G major,Bossa nova
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,24,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Corcovado - Ao Vivo,5ZuflcK3btGRtK6fVKWaql,Elis Regina,Elis 70 Anos,1965,https://i.scdn.co/image/91a524b022d28239d5c83bd71d43fbb3693c27e2,17,321,309,C,-16595,major,125,916,9.58e-5,765,177,77578,271240,4,C major,Bossa nova
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,24,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Romaria,3mYNwlSG7Voq41eAnLNNIi,Elis Regina,"Elis, O Mito",1978,https://i.scdn.co/image/ccff406d128f9bb6e8da3aa2bd1c665667681a90,17,421,261,D,-9185,major,0.0346,767,0,158,315,177065,247933,4,D major,Bossa nova
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,24,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,O Barquinho,0exLxqUHwy24tDltZCMhy1,Nara Leão,Obras-Primas,1961,https://i.scdn.co/image/f4a0940264a3d5556146ba6c2f1a44325f2531da,40,672,198,C#,-16628,minor,61,881,145,0.0936,519,144508,187093,4,C# minor,Bossa nova
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,24,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Este Seu Olhar,7lDKmjx051iKv7kU6keNEm,Nara Leão,Pure Bossa Nova,1971,https://i.scdn.co/image/7eaf757355d1cf495a0ed5fd9677bfe7f4cba9d0,44,476,206,C,-16716,major,0.0521,838,0.0494,107,374,107503,152333,1,C major,Bossa nova
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,24,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Outra Vez,4x3lE3wPWKKQRRFREo8AMw,Nara Leão,Pure Bossa Nova,1971,https://i.scdn.co/image/7eaf757355d1cf495a0ed5fd9677bfe7f4cba9d0,42,401,225,F#,-13507,minor,0.0324,864,0.00601,114,431,110018,202173,5,F# minor,Bossa nova
